,start,end,timenow,time,num
0,"(24.1837584, 120.6037066)","(24.1279394, 120.5728427)",2018-01-09 18:09:00,25 だ,1.0
1,"(24.1837584, 120.6037066)","(24.1200432, 120.6996289)",2018-01-09 19:25:00,36 だ,1.0
2,"(24.1837584, 120.6037066)","(24.1143669, 120.5878646)",2018-01-09 03:27:00,22 だ,1.0
3,"(24.1837584, 120.6037066)","(24.1643556, 120.6197813)",2018-01-09 09:26:00,14 だ,1.0
4,"(24.1837584, 120.6037066)","(24.1737383, 120.6347145)",2018-01-09 07:00:00,13 だ,1.0
5,"(24.1837584, 120.6037066)","(24.146204, 120.5477382)",2018-01-09 09:08:00,24 だ,1.0
6,"(24.1837584, 120.6037066)","(24.1104001, 120.609646)",2018-01-09 02:47:00,20 だ,1.0
7,"(24.1837584, 120.6037066)","(24.1294717, 120.6002561)",2018-01-09 11:17:00,26 だ,1.0
8,"(24.1837584, 120.6037066)","(24.1427467, 120.5228654)",2018-01-09 10:56:00,19 だ,1.0
9,"(24.1837584, 120.6037066)","(24.1260041, 120.5328191)",2018-01-09 17:14:00,24 だ,1.0
10,"(24.1837584, 120.6037066)","(24.1805103, 120.6744124)",2018-01-09 03:08:00,23 だ,1.0
11,"(24.1837584, 120.6037066)","(24.1462151, 120.5240872)",2018-01-09 13:37:00,33 だ,1.0
12,"(24.1837584, 120.6037066)","(24.1623489, 120.5372931)",2018-01-09 20:12:00,25 だ,1.0
13,"(24.1837584, 120.6037066)","(24.1922315, 120.6602781)",2018-01-09 05:27:00,19 だ,1.0
14,"(24.1837584, 120.6037066)","(24.1888408, 120.6217366)",2018-01-09 07:17:00,10 だ,1.0
15,"(24.1837584, 120.6037066)","(24.1868998, 120.6583764)",2018-01-09 06:49:00,20 だ,1.0
16,"(24.1837584, 120.6037066)","(24.1140103, 120.5927001)",2018-01-09 22:27:00,21 だ,1.0
17,"(24.1837584, 120.6037066)","(24.1064097, 120.5630525)",2018-01-09 16:40:00,24 だ,1.0
18,"(24.1837584, 120.6037066)","(24.1207745, 120.6577757)",2018-01-09 20:38:00,30 だ,1.0
19,"(24.1837584, 120.6037066)","(24.1216083, 120.5075914)",2018-01-09 15:26:00,25 だ,1.0
20,"(24.1837584, 120.6037066)","(24.1356956, 120.6941679)",2018-01-09 15:27:00,35 だ,1.0
21,"(24.1837584, 120.6037066)","(24.1742606, 120.6498056)",2018-01-09 21:25:00,19 だ,1.0
22,"(24.1837584, 120.6037066)","(24.1418709, 120.6789031)",2018-01-09 13:02:00,29 だ,1.0
23,"(24.1837584, 120.6037066)","(24.1018805, 120.5641627)",2018-01-09 08:26:00,25 だ,1.0
24,"(24.1837584, 120.6037066)","(24.1004241, 120.6253179)",2018-01-09 10:21:00,23 だ,1.0
