,cctvid,roadsection,locationpath,startlocationpoint,endlocationpoint,px,py,url
0,64000C000001,大中路(高雄)(大中二路/華夏路到大中二路/翠華路),2084,2091,2093,120.30497,22.68577,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000001&w=340&h=260
1,64000C000002,中華路(中華二路/同盟二路到中華三路/建國三路),2132,2137,2139,120.29132,22.64191,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000002&w=340&h=260
2,64000C000003,中華路(中華二路/同盟二路到中華三路/建國三路),2132,2137,2139,120.29183,22.64189,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000003&w=340&h=260
3,64000C000004,中華路(中華二路/九如二路到中華三路/八德二路),2132,2138,2140,120.29296,22.63687,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000004&w=340&h=260
4,64000C000005,中華路(中華三路/八德二路到中華三路/六合二路),2132,2140,2142,120.29457,22.63275,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000005&w=340&h=260
5,64000C000006,中華路(中華三路/民生二路到中華四路/新田路),2132,2144,2146,120.29905,22.62101,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000006&w=340&h=260
6,64000C000007,九如路(九如一路/水源路到九如一路/澄清路),2203,2220,2221,120.34445,22.63626,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000007&w=340&h=260
7,64000C000008,中華路(中華一路/明誠三路到中華二路/同盟二路),2132,2135,2137,120.29219,22.65310,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000008&w=340&h=260
8,64000C000009,楠陽/鳳楠路口,-99,-99,-99,120.33031,22.72414,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000009&w=340&h=260
9,64000C000010,博愛路(博愛四路/重愛路到博愛三路/曾子路),1993,1996,1998,120.31049,22.68129,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000010&w=340&h=260
10,64000C000011,中正路(中正一路/福德三路到中正路/三多一路),2271,2285,2287,120.33580,22.62693,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000011&w=340&h=260
11,64000C000012,中正路(中正一路/福德三路到中正路/三多一路),2271,2285,2287,120.33662,22.62668,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000012&w=340&h=260
12,64000C000013,民族路(高雄)(民族一路(高雄)/華夏路到民族一路(高雄)/重愛路),2053,2054,2055,120.32091,22.68789,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000013&w=340&h=260
13,64000C000014,民族路(高雄)(明誠一路(高雄)/民族一路到民族一路(高雄)/同盟一路),2053,2059,2061,120.31554,22.65543,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000014&w=340&h=260
14,64000C000015,民族路(高雄)(民族一路(高雄)/大順一路到民族一路(高雄)/十全一路),2053,2060,2062,120.31482,22.64767,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000015&w=340&h=260
15,64000C000016,民族路(高雄)(民族一路(高雄)/大順一路到民族一路(高雄)/十全一路),2053,2060,2062,120.31474,22.64735,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000016&w=340&h=260
16,64000C000017,民族路(高雄)(民族一路(高雄)/九如二路到民族二路(高雄)/八德一路),2053,2063,2065,120.31374,22.63649,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000017&w=340&h=260
17,64000C000018,民族路(高雄)(民族二路(高雄)/建國一路到民族二路(高雄)/七賢一路),2053,2064,2066,120.31368,22.63528,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000018&w=340&h=260
18,64000C000019,五福路(五福二路/民權一路到五福一路/和平一路),2401,2415,2417,120.31423,22.62754,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000019&w=340&h=260
19,64000C000020,五福路(五福四路/河西路到五福三路/成功一路),2401,2407,2409,120.29095,22.62069,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000020&w=340&h=260
20,64000C000021,中山路(高雄)(中山四路/金福路到中山四路/大業北路),2013,2031,2033,120.33828,22.56998,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000021&w=340&h=260
21,64000C000022,三多路(三多一路/武慶三路到三多一路/自由路),2454,2469,2471,120.33590,22.62398,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000022&w=340&h=260
